"195","426","NLP","NETWORK","NLP_CRIME","33.8003961","-117.2202991","33.8003613","-117.2203733","7.873","25.83","11.668","38.28","04/05/2026 13:00:00","04/05/2026 13:00:07","7.168","","","1775422800477","1775422807645","Fix,NLP,33.8003613000,-117.2203733000,405.5,,38.685,,1775422807645,,,3319392000000,1.0,0,,,","33.80037743","-117.22038221","311","480","11268","11297568","-106","LTE","LTE","66586","242","2","33.80037743,-117.22038221,401,311,480,11268,11297568,-106,LTE,LTE,66586,242"
"203","441","NLP","NETWORK","NLP_CRIME","33.8003613","-117.2203733","33.8001902","-117.2206005","28.332","92.95","38.111","125.04","04/05/2026 13:00:07","04/05/2026 13:00:14","7.271","","","1775422807645","1775422814916","Fix,NLP,33.8001902000,-117.2206005000,405.5,,43.539,,1775422814916,,,3326663000000,1.0,0,,,","33.80036954","-117.22042412","311","480","11268","11320577","-106","LTE","LTE","5230","111","25.8","33.80036954,-117.22042412,406,311,480,11268,11320577,-106,LTE,LTE,5230,111"
"218","475","NLP","NETWORK","NLP_ANOMALY","33.8001902","-117.2206005","33.8002013","-117.2205792","2.323","7.62","35.955","117.96","04/05/2026 13:00:21","04/05/2026 13:00:28","7.416","","","1775422821114","1775422828530","Fix,NLP,33.8002013000,-117.2205792000,405.5,,38.121,,1775422828530,,,3340277000000,1.0,0,,,","33.80036954","-117.22042412","311","480","11268","11320577","-106","LTE","LTE","5230","111","23.6","33.80036954,-117.22042412,406,311,480,11268,11320577,-106,LTE,LTE,5230,111"
"225","488","NLP","NETWORK","NLP_CRIME","33.8002013","-117.2205792","33.8005073","-117.2202665","44.638","146.45","9.354","30.69","04/05/2026 13:00:28","04/05/2026 13:00:35","6.827","","","1775422828530","1775422835357","Fix,NLP,33.8005073000,-117.2202665000,405.5,,21.202,,1775422835357,,,3347104000000,1.0,0,,,","33.80047585","-117.22027869","311","480","11268","11297539","-102","LTE","LTE","5230","242","3.7","33.80047585,-117.22027869,399,311,480,11268,11297539,-102,LTE,LTE,5230,242"
"234","507","NLP","NETWORK","NLP_CRIME","33.8005073","-117.2202665","33.8002275","-117.2204409","35.038","114.95","27.603","90.56","04/05/2026 13:00:38","04/05/2026 13:00:42","4.577","","","1775422838002","1775422842579","Fix,NLP,33.8002275000,-117.2204409000,405.5,,42.505,,1775422842579,,,3354326000000,1.0,0,,,","33.80036954","-117.22042412","311","480","11268","11320577","-106","LTE","LTE","5230","111","15.9","33.80036954,-117.22042412,406,311,480,11268,11320577,-106,LTE,LTE,5230,111"
"241","520","NLP","NETWORK","NLP_CRIME","33.8002275","-117.2204409","33.8002584","-117.220235","19.333","63.43","25.469","83.56","04/05/2026 13:00:42","04/05/2026 13:00:49","6.82","","","1775422842579","1775422849399","Fix,NLP,33.8002584000,-117.2202350000,405.5,,40.812,,1775422849399,,,3361146000000,1.0,0,,,","33.80034741","-117.22033806","311","480","11268","11297570","-98","LTE","LTE","1000","242","13.7","33.80034741,-117.22033806,403,311,480,11268,11297570,-98,LTE,LTE,1000,242"
"249","535","NLP","NETWORK","NLP_CRIME","33.8002584","-117.220235","33.8001466","-117.2206444","39.819","130.64","44.424","145.75","04/05/2026 13:00:49","04/05/2026 13:00:56","6.786","","","1775422849399","1775422856185","Fix,NLP,33.8001466000,-117.2206444000,405.5,,21.546,,1775422856185,,,3367932000000,1.0,0,,,","33.80036954","-117.22042412","311","480","11268","11320577","-106","LTE","LTE","5230","111","32.1","33.80036954,-117.22042412,406,311,480,11268,11320577,-106,LTE,LTE,5230,111"
"257","551","NLP","NETWORK","NLP_CRIME","33.8001466","-117.2206444","33.8002819","-117.2201795","45.516","149.33","25.971","85.21","04/05/2026 13:00:56","04/05/2026 13:01:03","7.193","","","1775422856185","1775422863378","Fix,NLP,33.8002819000,-117.2201795000,405.5,,42.353,,1775422863378,,,3375125000000,1.0,0,,,","33.80034741","-117.22033806","311","480","11268","11297570","-98","LTE","LTE","1000","242","16.4","33.80034741,-117.22033806,403,311,480,11268,11297570,-98,LTE,LTE,1000,242"
"272","584","NLP","NETWORK","NLP_CRIME","33.8002819","-117.2201795","33.8004565","-117.2201726","19.425","63.73","16.788","55.08","04/05/2026 13:01:09","04/05/2026 13:01:16","7.431","","","1775422869526","1775422876957","Fix,NLP,33.8004565000,-117.2201726000,405.5,,29.336,,1775422876957,,,3388704000000,1.0,0,,,","33.80047585","-117.22027869","311","480","11268","11297539","-102","LTE","LTE","5230","242","10","33.80047585,-117.22027869,399,311,480,11268,11297539,-102,LTE,LTE,5230,242"
"280","600","NLP","NETWORK","NLP_CRIME","33.8004565","-117.2201726","33.8005189","-117.2201721","6.939","22.76","17.844","58.54","04/05/2026 13:01:16","04/05/2026 13:01:23","6.862","","","1775422876957","1775422883819","Fix,NLP,33.8005189000,-117.2201721000,405.5,,23.748,,1775422883819,,,3395566000000,1.0,0,,,","33.80047585","-117.22027869","311","480","11268","11297539","-102","LTE","LTE","5230","242","11","33.80047585,-117.22027869,399,311,480,11268,11297539,-102,LTE,LTE,5230,242"
"288","616","NLP","NETWORK","NLP_CRIME","33.8005189","-117.2201721","33.8003724","-117.2201716","16.29","53.45","19.75","64.8","04/05/2026 13:01:23","04/05/2026 13:01:30","6.732","","","1775422883819","1775422890551","Fix,NLP,33.8003724000,-117.2201716000,405.5,,30.829,,1775422890551,,,3402298000000,1.0,0,,,","33.80047585","-117.22027869","311","480","11268","11297539","-102","LTE","LTE","5230","242","15.2","33.80047585,-117.22027869,399,311,480,11268,11297539,-102,LTE,LTE,5230,242"
